session_id,trial_number,target_pin,pin_entered,is_correct,timestamp_ms,time_from_start_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,rot_x,rot_y,rot_z,rot_scalar,event_type,digit_pressed,digit_position
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522913,3,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6773113,2.5197518E-5,2.1362185E-4,0.73569655,recording_start,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522936,26,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6773113,2.5197518E-5,2.1362185E-4,0.73569655,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522936,26,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6773113,2.5197518E-5,2.1362185E-4,0.73569655,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522942,32,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6773113,2.5197518E-5,2.1362185E-4,0.73569655,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522951,41,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6773113,2.5197518E-5,2.1362185E-4,0.73569655,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522952,42,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6773113,2.5197518E-5,2.1362185E-4,0.73569655,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522961,51,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6773113,2.5197518E-5,2.1362185E-4,0.73569655,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522961,51,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6771973,0.0,0.0,0.7358015,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522962,52,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6771973,0.0,0.0,0.7358015,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522971,61,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6771973,0.0,0.0,0.7358015,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522971,61,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6771987,3.587548E-7,3.3019915E-6,0.73580027,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522972,62,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6771987,3.587548E-7,3.3019915E-6,0.73580027,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522981,71,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6771987,3.587548E-7,3.3019915E-6,0.73580027,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522981,71,0.0,9.776321,0.812345,0.0,0.0,0.0,0.67720145,4.8897226E-7,6.390143E-6,0.7357977,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522983,73,0.0,9.776321,0.812345,0.0,0.0,0.0,0.67720145,4.8897226E-7,6.390143E-6,0.7357977,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522991,81,0.0,9.776321,0.812345,0.0,0.0,0.0,0.67720145,4.8897226E-7,6.390143E-6,0.7357977,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522991,81,0.0,9.776321,0.812345,0.0,0.0,0.0,0.67720467,1.1365719E-6,1.1221284E-5,0.7357947,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424522992,82,0.0,9.776321,0.812345,0.0,0.0,0.0,0.67720467,1.1365719E-6,1.1221284E-5,0.7357947,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523001,91,0.0,9.776321,0.812345,0.0,0.0,0.0,0.67720467,1.1365719E-6,1.1221284E-5,0.7357947,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523001,91,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772061,9.045087E-7,1.6079948E-5,0.7357934,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523002,92,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772061,9.045087E-7,1.6079948E-5,0.7357934,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523011,101,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772061,9.045087E-7,1.6079948E-5,0.7357934,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523011,101,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772079,1.9813745E-6,2.0431778E-5,0.73579174,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523013,103,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772079,1.9813745E-6,2.0431778E-5,0.73579174,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523022,112,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772079,1.9813745E-6,2.0431778E-5,0.73579174,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523022,112,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772095,1.5078975E-6,2.4611969E-5,0.7357903,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523022,112,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772095,1.5078975E-6,2.4611969E-5,0.7357903,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523031,121,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772095,1.5078975E-6,2.4611969E-5,0.7357903,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523031,121,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772115,5.8055514E-7,2.835177E-5,0.73578846,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523033,123,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772115,5.8055514E-7,2.835177E-5,0.73578846,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523042,132,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772115,5.8055514E-7,2.835177E-5,0.73578846,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523042,132,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772142,7.531497E-7,3.180808E-5,0.735786,idle,,
1edb14b2-1d98-4333-82c6-03e4ec49517f,2,1478,,0,1763424523042,132,0.0,9.776321,0.812345,0.0,0.0,0.0,0.6772142,7.531497E-7,3.180808E-5,0.735786,idle,,
